ID_MODELO,DESC_MODELO
1,PT Cruiser
2,RAM 1500-
3,RAM 2500-
4,RAM 4000
5,Focus ZX3
6,H - 215
7,Avalanche UUV
8,Aztek SUV
9,Escalade ESV SUV AWD
10,Escalade EXT UUV 4X4
11,Rendezvous
12,Silverado 1500 Cabina Regular-
13,Suburban SUV-
14,Sunfire GT 2 Ptas
15,Sunfire 4 Ptas
16,Accord-
17,Pickup Doble Cabina
18,Pickup Largo
19,Platina 4 PTS
20,Sentra 4 PTS
21,Tsuru 4 PTS
22,Clio
23,Beetle
24,Beetle Cabrio
25,Bora
26,Jetta 4 PTAS
27,Sedan
28,Chevy 3 Ptas
29,Chevy 4 PTAS
30,Chevy 5 Ptas
31,"Kodiak Chassis Cab Class 6 PBV23,900"
32,HHR 5 PTAS
33,Silverado 2500 Cabina Regular-
34,F 150
35,F 250
36,LCF
37,Fusion
38,Milan-
39,MKZ-
40,Yukon
41,Tiida 5 PTS
42,Tacoma-
43,Silverado 3500 Chassis Cab
44,VUE
45,Sentra
46,GMC Sierra Doble Cabina
47,Tiida Sedan
48,Sportwagen
49,CR-V-
50,Journey
51,Silverado 2500 Doble Cabina-
52,Captiva Sport
53,Aveo-
54,G3 4 PTAS-
55,G3 5 PTAS-
56,Crew Cab-
57,SRX SUV-
58,Fiesta NA Sedan
59,Nuevo Jetta
60,Saab 9-4x
61,March
62,Versa
63,Fiat 500-
64,Pickup King Cab STD
65,Sonic-
66,Trax
67,NV2500 V6 Toldo Alto
68,Note
69,Promaster
70,NV 200 NY TAXI
71,NV 200 Cargo
72,Golf-
73,Mazda 3 Hatchback
74,Mazda 3 Sedán-
75,Fit-
76,Golf Variant-/Crossgolf
77,Mazda 2-
78,HR-V-
79,Yaris-R
80,Cruze 4 PTAS-
81,Sonic 5 PTS-
82,Forte-
83,Kicks
84,Cruze 5 Ptas
85,Q5
86,Tiguan-
87,Forte Hatchback
88,Kia Río Hatchback-
89,Equinox SUV-
90,Fusion Hibrido
91,Jeep Compass-
92,KIA Río Sedan-
93,Terrain SUV-
94,Hyundai Accent Sedán
95,Hyundai Accent Hatchback
96,MKZ Hibrido-
97,Jetta
98,NP300
99,QX50
100,Mazda 2 Sedán
101,Fiesta Ikon
102,Cavalier 2 Ptas
103,Mazda 2 Hatchback
104,Clase A Sedán_
105,Blazer
106,Serie 3
107,Sierra Cabina Regular
108,GLB_
109,Jetta TDI
110,CX-30
111,Onix
112,Bronco Sport
113,Mustang Mach-E
114,QX55
115,Taos
116,Maverick
117,Serie 2 Coupé
118,M2
119,Blazer EV
120,Equinox EV
121,KIA K3 Sedán
122,KIA K3 Hatchback
123,PROLOGUE
124,K4 Sedán
125,Tucson
126,Tacoma HEV
127,Optiq
128,ADX
129,Wagoneer
130,K4 Hatchback
